id,name,category,score,fdc_id,usda_description,status
d635f52804c3ed9e5e8e92783ae63cdfd212,Brokkoli (gedaempft),Gemüse,0.0,,,api_error:HTTPError
1410254420d8e70e465d96885e9adafc572a,Brokkoli (gekocht),Gemüse,0.0,,,api_error:HTTPError
b64f2385d627ef5cfa6279979b079a1b1510,Brokkoli (roh),Gemüse,0.0,,,no_match
3b1d9d7533ee7bb0de2a97bf4f7b7119e38b,Brokkoli (TK),Gemüse,0.0,,,no_match
7f318d127b547d456f8684cd6960156ae43c,Brombeere,Obst,0.0,,,no_match
d3ebe21fdf3c0d543a010822f4801330b87e,Brombeere (Bio),Obst,0.0,,,no_match
d7900778d24ba9a9a45455304fb76c7fcadc,Brombeere (frisch),Obst,0.0,,,no_match
f708c2647362150b610e1ca400dd10e9abc0,Brombeere (reif),Obst,0.0,,,api_error:HTTPError
0de0708d0428827049e17d7a0de0e502ba4d,Brombeere (TK),Obst,0.0,,,api_error:HTTPError
582741d7d521f26932b31e5868c2a17b0c16,Buchweizen,Getreide,0.0,,,no_match
2226e96f3fd88df6343b4b3355ee711ab74d,Bulgur,Getreide,1.0,2017935,BULGUR,matched
f352c025653bbfc9329e465a2583fe1c74ec,Butter,Öle,1.0,1932883,BUTTER,matched
c935691eb7b1d03401164ed58fb8f6f33380,Butterschmalz,Öle,0.0,,,no_match
30f2f603dcf304a64fe4e1883b718d182547,Camembert,Käse,1.0,2116100,CAMEMBERT,matched
925758110dd6d288f656133eb5686690c092,Cashew,Nüsse,0.75,2707536,Cashew butter,matched
e0fc60daa0f8facd77088fc67766b3c428cb,Cashewmus,Nüsse,0.0,,,no_match
d173692706b52909db6007e857e477859ece,Champignon,Gemüse,0.7,2543845,"CHAMPIGNON SAUCE, CHAMPIGNON",matched
8a25547b3a53453dc095a21a230990c514fd,Champignon (Bio),Gemüse,0.0,,,api_error:HTTPError
7269c5cb055ba3a7b53445a15a0ddc2ac8ea,Champignon (gedaempft),Gemüse,0.0,,,api_error:HTTPError
0c1f948743e8c7a5e5f00abbf3b0435bb70c,Champignon (gekocht),Gemüse,0.7,2543845,"CHAMPIGNON SAUCE, CHAMPIGNON",matched
22fe0a32e1f6c56208b6cfd4f0c8db9ea91a,Champignon (roh),Gemüse,0.0,,,api_error:HTTPError
c6f3a3e0bf2fc204316c2cf8270bc151cd82,Champignon (TK),Gemüse,0.7,2543845,"CHAMPIGNON SAUCE, CHAMPIGNON",matched
9a01437f46ca4044f83e116ff3360d079167,Cheddar,Käse,1.0,2428039,CHEDDAR,matched
1b2aea6f30189db9450fa3888f43f3e3f2d0,Chiasamen,Samen,0.0,,,no_match
7dd243abab548c11806dfbb1ffcb62c05810,Chili gemahlen,Gewürze,0.3333,2706373,"Chili, NFS",weak_match
288aecdb1489134096ceafbce95e9b4665d7,Chinakohl,Gemüse,0.0,,,no_match
373e5ed6c5babb970443169f8133e914f435,Chinakohl (Bio),Gemüse,0.0,,,api_error:HTTPError
285ab705211d49e10ab96222a18c67ace065,Chinakohl (gedaempft),Gemüse,0.0,,,api_error:HTTPError
4e716b77e83f5b04f2fa4131809ad339e46a,Chinakohl (gekocht),Gemüse,0.0,,,api_error:HTTPError
d9449f5d0792b6e427383bf4330e3c9f81af,Chinakohl (roh),Gemüse,0.0,,,no_match
6a78666c95b83a8387479e1160088f433cca,Chinakohl (TK),Gemüse,0.0,,,no_match
143d047c4df1b88a25538560f9c1436e05c3,Ciabatta,Brot,1.0,2630685,CIABATTA,matched
d8ac32259b96997e95304ff9114a4f0babdd,Couscous,Getreide,1.0,2388834,COUSCOUS,matched
