id,name,category,score,fdc_id,usda_description,status,error_code,note
c9ade3486efcd1e1569011cd2f9f26c00d4c,Apfel (frisch),Obst,0.75,2709294,"Apple, candied",matched,,
af4ad24a35f03d490fc7ff890f3d10ea34d7,Apfel (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
94d15707cd18f82d6dcd2baa919dd48a49d6,Apfel (TK),Obst,0.35,168188,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
9fe18000ab13c54bb9174bd6827b71b7fcdd,Aprikose (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
e0fb5c430da991b8a6e1ea03b4c251ee4312,Aprikose (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
bea25319a867fec4a9455b2ff7f57a5f9ecc,Aubergine (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
31b307e2f3128e0301f56bf0e257415b8279,Aubergine (gekocht),Gemüse,0.75,2710049,Eggplant dip,matched,,
9678d685c5e026b6111c2ff4285c7ec7e2a6,Banane (Bio),Obst,0.75,2709225,"Banana, baked",matched,,
9e126d865b85df51cc1c77d92ae238a0c7ac,Bauernbrot,Brot,0.3333,2707850,"Bread, fruit",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
5981a3eeccb084474d29e1ac00d70f9fc567,Bergkaese,Käse,0.25,2705770,"Cheese, processed cheese food",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
85a473aa138b63656913c93ecc591f4683fa,Birne (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
da6a4ebce237a841d6954ac58d4ff8f501a4,Blumenkohl (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
3ec88b3d0bad8c0f7aa4c04ff15548b2cf29,Blumenkohl (gekocht),Gemüse,0.5,2710801,"Cauliflower, cooked, as ingredient",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
9aeb450ac491551a8ebde3185f40da4a96d6,Bohne grün (gekocht),Gemüse,0.4167,2710803,"Green beans, cooked, as ingredient",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
14de94103eab9f1560907625e6136e4bef44,Bohne grün (roh),Gemüse,0.5,2709769,"Green beans, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
db81a95640c7634b4c2ec78eb13cac4d0e1c,Bohne grün (TK),Gemüse,0.9167,2710040,Green bean casserole,matched,,
621d798949797354b06784b467e5f5603706,Brokkoli (Bio),Gemüse,0.75,2709643,"Broccoli, raw",matched,,
d635f52804c3ed9e5e8e92783ae63cdfd212,Brokkoli (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
3b1d9d7533ee7bb0de2a97bf4f7b7119e38b,Brokkoli (TK),Gemüse,0.5,169968,"Broccoli, frozen, chopped, unprepared",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
d3ebe21fdf3c0d543a010822f4801330b87e,Brombeere (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
d7900778d24ba9a9a45455304fb76c7fcadc,Brombeere (frisch),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
0de0708d0428827049e17d7a0de0e502ba4d,Brombeere (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
8a25547b3a53453dc095a21a230990c514fd,Champignon (Bio),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
7269c5cb055ba3a7b53445a15a0ddc2ac8ea,Champignon (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
22fe0a32e1f6c56208b6cfd4f0c8db9ea91a,Champignon (roh),Gemüse,0.25,2709793,"Mushrooms, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
7dd243abab548c11806dfbb1ffcb62c05810,Chili gemahlen,Gewürze,0.3333,2705854,"Beef, ground",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
285ab705211d49e10ab96222a18c67ace065,Chinakohl (gedämpft),Gemüse,0.6667,2709774,"Cabbage, Chinese, raw",matched,,
6a78666c95b83a8387479e1160088f433cca,Chinakohl (TK),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
c9e0a2d7af342a33e2725d83a7cabc73edba,Cranberry (frisch),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
f46b11b6586dfc37c1600b7ac85a2f4382ec,Cranberry (reif),Obst,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
f746159ffbd63316157330e0f7bbc6d96c65,Dorade,Fisch,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
acabcd7325b205de32b5030109601791004d,dunkle Traube,Obst,0.25,2709325,"Grape juice, 100%",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
b9f9ed815f7ac7e1cd9879848fc0b3220dfe,dunkle Traube (Bio),Obst,0.25,2709325,"Grape juice, 100%",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
baf4f9c6654cdf9a591133d1f832d22863a4,Dunkle Traube (frisch),Obst,0.25,2709325,"Grape juice, 100%",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
207a185a976d48cb8a7c3967513967f9c788,Ei gekocht,Eier,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
af209719bfd8160762ae88028c042d191d4b,Eisbergsalat (roh),Gemüse,0.6667,2346388,"Lettuce, iceberg, raw",matched,,
a2b65c492b01012ffdb09f0debf425a98d1a,Eisbergsalat (TK),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
d4b91dc9b2513ac2e55dbc80b40ebc1c644f,Entenbrust,Fleisch,0.3333,174469,"Duck, wild, breast, meat only, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
37b26d852e33cae342ac5c03e6cc907e1cc6,Erbse getrocknet,Hülsenfrüchte,0.3333,2710056,Pea salad,weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
f5d0f32e91eb4798e852cde595da2af62b03,Erbse gruen,Gemüse,0.5,2709797,"Green peas, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
510d5a0e77bc1257c79c2eb8f054370263dd,Erbse gruen (roh),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
7b91d45a9403e279c3110ec3eba87037b5b0,Erbse grün (gedämpft),Gemüse,0.5,2709797,"Green peas, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
a8999fc7b4b4a582b86f83e1bc6e3db6d61a,Erbse grün (gekocht),Gemüse,0.4167,2709958,"Green peas, cooked, from restaurant",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
789e82c811eb0cf219bed32bccf162eb1aba,Erbse grün (TK),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
18bcedaa2d47cf70da30074d88b585a6a8d0,Erdbeere (frisch),Obst,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
0f4fdee8c73e1d2055bb0174aa6bcfed9b1a,Erdbeere (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
f42036b5b4c1a6ed72a5fab479f58f1f9af1,Erdbeere (TK),Obst,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
1f89f7d73f0d5fb6b781d332c6491f0b4cb0,Feige (Bio),Obst,0.75,2709236,"Fig, canned",matched,,
c4beac4222c5e09d0ee2f625c66539bcd499,Feige (reif),Obst,0.75,2709236,"Fig, canned",matched,,
1a5d0893e340bd312d835984b7e33e4ff01a,Feige (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
9a4271d757f05d6e5467b09005bf8d76868e,Feldsalat,Gemüse,0.25,2705906,"Lamb, chop",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
8cff451494175a7cfd91a509e392d9357ee4,Feldsalat (Bio),Gemüse,0.25,2705906,"Lamb, chop",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
