id,name,category,score,fdc_id,usda_description,status,error_code,note
af4ad24a35f03d490fc7ff890f3d10ea34d7,Apfel (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
94d15707cd18f82d6dcd2baa919dd48a49d6,Apfel (TK),Obst,0.35,168188,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
9fe18000ab13c54bb9174bd6827b71b7fcdd,Aprikose (Bio),Obst,0.75,2709221,"Apricot, raw",matched,,
e0fb5c430da991b8a6e1ea03b4c251ee4312,Aprikose (TK),Obst,0.75,2709221,"Apricot, raw",matched,,
bea25319a867fec4a9455b2ff7f57a5f9ecc,Aubergine (gedämpft),Gemüse,0.75,2710049,Eggplant dip,matched,,
9e126d865b85df51cc1c77d92ae238a0c7ac,Bauernbrot,Brot,0.3333,2707850,"Bread, fruit",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
5981a3eeccb084474d29e1ac00d70f9fc567,Bergkaese,Käse,0.25,2705770,"Cheese, processed cheese food",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
85a473aa138b63656913c93ecc591f4683fa,Birne (reif),Obst,0.75,2709254,"Pear, raw",matched,,
da6a4ebce237a841d6954ac58d4ff8f501a4,Blumenkohl (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
3ec88b3d0bad8c0f7aa4c04ff15548b2cf29,Blumenkohl (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
9aeb450ac491551a8ebde3185f40da4a96d6,Bohne grün (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
14de94103eab9f1560907625e6136e4bef44,Bohne grün (roh),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
